127.0.0.1 - - [28/Dec/2017:12:05:08 +0700] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:10 +0700] "GET /Web/trangchu HTTP/1.1" 200 15365
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:10 +0700] "GET /Web/css/Trang_chu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:10 +0700] "GET /Web/images/Chemistry.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:10 +0700] "GET /Web/images/math.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:10 +0700] "GET /Web/images/Physics.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:11 +0700] "GET /Web/images/b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:11 +0700] "GET /Web/images/Chuan.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/trangchu HTTP/1.1" 200 15365
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/bootstrap/css/bootstrap.css HTTP/1.1" 200 146007
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/css/Trang_chu.css HTTP/1.1" 200 8615
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/js/velocity.min.js HTTP/1.1" 200 35051
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/js/index.js HTTP/1.1" 200 2908
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/SPKT.jpg HTTP/1.1" 200 51423
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/Chemistry.jpg HTTP/1.1" 200 157186
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/Physics.jpg HTTP/1.1" 200 96535
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/AVR.png HTTP/1.1" 200 113491
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/math.jpg HTTP/1.1" 200 117765
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/HDH.jpg HTTP/1.1" 200 49753
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/AVV.jpg HTTP/1.1" 200 29275
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/kien-truc-may-tinh.png HTTP/1.1" 200 733126
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/mang-may-tinh.gif HTTP/1.1" 200 56824
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/vat-ly.gif HTTP/1.1" 200 518518
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/trung-tam-tin-hoc.jpg HTTP/1.1" 200 22955
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/volkan-olmez-73767.jpg HTTP/1.1" 200 711856
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/images/web.png HTTP/1.1" 200 12807
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/icons/previous.png HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/icons/next.png HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [28/Dec/2017:12:05:31 +0700] "GET /Web/icons/icon6.png HTTP/1.1" 200 463
